,feature,importance_gain,importance_split,trn_score,run
105,FLAG_DOCUMENT_13,15.923269748687744,2,0.6639043005943865,4
106,FLAG_DOCUMENT_14,229.56682014465332,21,0.6639043005943865,4
107,FLAG_DOCUMENT_15,35.60102987289429,4,0.6639043005943865,4
108,FLAG_DOCUMENT_16,275.1502480506897,27,0.6639043005943865,4
109,FLAG_DOCUMENT_17,441.3034038543701,37,0.6639043005943865,4
110,FLAG_DOCUMENT_18,195.30881881713867,19,0.6639043005943865,4
111,FLAG_DOCUMENT_19,17.671740531921387,2,0.6639043005943865,4
112,FLAG_DOCUMENT_20,0.0,0,0.6639043005943865,4
113,FLAG_DOCUMENT_21,49.67483997344971,4,0.6639043005943865,4
114,AMT_REQ_CREDIT_BUREAU_HOUR,178.26634240150452,19,0.6639043005943865,4
115,AMT_REQ_CREDIT_BUREAU_DAY,106.12308931350708,9,0.6639043005943865,4
116,AMT_REQ_CREDIT_BUREAU_WEEK,271.87055921554565,28,0.6639043005943865,4
117,AMT_REQ_CREDIT_BUREAU_MON,1752.2599824666977,161,0.6639043005943865,4
118,AMT_REQ_CREDIT_BUREAU_QRT,879.3301005363464,95,0.6639043005943865,4
119,AMT_REQ_CREDIT_BUREAU_YEAR,2746.258718162775,266,0.6639043005943865,4
0,NAME_CONTRACT_TYPE,377.42185044288635,57,0.6872066003807996,5
1,CODE_GENDER,481.8879527449608,100,0.6872066003807996,5
2,FLAG_OWN_CAR,171.3531932234764,42,0.6872066003807996,5
3,FLAG_OWN_REALTY,586.8808737397194,85,0.6872066003807996,5
4,CNT_CHILDREN,474.345096886158,59,0.6872066003807996,5
5,AMT_INCOME_TOTAL,5484.752207368612,664,0.6872066003807996,5
6,AMT_CREDIT,4419.540618985891,560,0.6872066003807996,5
7,AMT_ANNUITY,6725.47299399972,708,0.6872066003807996,5
8,AMT_GOODS_PRICE,4086.239073842764,418,0.6872066003807996,5
9,NAME_TYPE_SUITE,362.31574153900146,37,0.6872066003807996,5
10,NAME_INCOME_TYPE,129.80634927749634,13,0.6872066003807996,5
11,NAME_EDUCATION_TYPE,67.01212978363037,7,0.6872066003807996,5
12,NAME_FAMILY_STATUS,794.918737411499,80,0.6872066003807996,5
13,NAME_HOUSING_TYPE,295.58051204681396,30,0.6872066003807996,5
14,REGION_POPULATION_RELATIVE,4016.268345028162,409,0.6872066003807996,5
15,DAYS_BIRTH,7584.25871476531,790,0.6872066003807996,5
16,DAYS_EMPLOYED,6932.102330982685,740,0.6872066003807996,5
17,DAYS_REGISTRATION,6868.710594624281,698,0.6872066003807996,5
18,DAYS_ID_PUBLISH,7417.233982861042,766,0.6872066003807996,5
19,OWN_CAR_AGE,3315.549690157175,349,0.6872066003807996,5
20,FLAG_MOBIL,0.0,0,0.6872066003807996,5
21,FLAG_EMP_PHONE,46.008201122283936,6,0.6872066003807996,5
22,FLAG_WORK_PHONE,358.02874137461185,38,0.6872066003807996,5
23,FLAG_CONT_MOBILE,48.87200975418091,5,0.6872066003807996,5
24,FLAG_PHONE,337.2307585477829,41,0.6872066003807996,5
25,FLAG_EMAIL,122.52502918243408,13,0.6872066003807996,5
26,OCCUPATION_TYPE,4060.9111256599426,389,0.6872066003807996,5
27,CNT_FAM_MEMBERS,866.5338047742844,88,0.6872066003807996,5
28,REGION_RATING_CLIENT,393.18124997615814,38,0.6872066003807996,5
29,REGION_RATING_CLIENT_W_CITY,375.965313911438,37,0.6872066003807996,5
30,WEEKDAY_APPR_PROCESS_START,1126.3459486961365,122,0.6872066003807996,5
31,HOUR_APPR_PROCESS_START,2965.5651274323463,306,0.6872066003807996,5
32,REG_REGION_NOT_LIVE_REGION,126.1687216758728,13,0.6872066003807996,5
33,REG_REGION_NOT_WORK_REGION,206.43960857391357,19,0.6872066003807996,5
34,LIVE_REGION_NOT_WORK_REGION,84.23261439800262,9,0.6872066003807996,5
35,REG_CITY_NOT_LIVE_CITY,155.34152960777283,18,0.6872066003807996,5
36,REG_CITY_NOT_WORK_CITY,281.1172524690628,37,0.6872066003807996,5
37,LIVE_CITY_NOT_WORK_CITY,283.7557512521744,35,0.6872066003807996,5
38,ORGANIZATION_TYPE,11686.281879901886,855,0.6872066003807996,5
39,EXT_SOURCE_1,7139.752406522632,716,0.6872066003807996,5
40,EXT_SOURCE_2,7962.10378485918,782,0.6872066003807996,5
41,EXT_SOURCE_3,10137.066714286804,1003,0.6872066003807996,5
42,APARTMENTS_AVG,3548.1925125718117,328,0.6872066003807996,5
43,BASEMENTAREA_AVG,3806.393381744623,364,0.6872066003807996,5
44,YEARS_BEGINEXPLUATATION_AVG,3285.0600615143776,317,0.6872066003807996,5
45,YEARS_BUILD_AVG,2814.1439983844757,267,0.6872066003807996,5
46,COMMONAREA_AVG,2899.937081158161,276,0.6872066003807996,5
47,ELEVATORS_AVG,972.851814031601,97,0.6872066003807996,5
48,ENTRANCES_AVG,2051.775913119316,188,0.6872066003807996,5
49,FLOORSMAX_AVG,1124.3940317034721,116,0.6872066003807996,5
50,FLOORSMIN_AVG,1424.5396602153778,140,0.6872066003807996,5
51,LANDAREA_AVG,3763.6488930881023,374,0.6872066003807996,5
52,LIVINGAPARTMENTS_AVG,2445.3987930715084,221,0.6872066003807996,5
53,LIVINGAREA_AVG,2902.0664535164833,270,0.6872066003807996,5
54,NONLIVINGAPARTMENTS_AVG,1096.3965141773224,111,0.6872066003807996,5
55,NONLIVINGAREA_AVG,2884.5911651849747,286,0.6872066003807996,5
56,APARTMENTS_MODE,2526.3570317029953,241,0.6872066003807996,5
57,BASEMENTAREA_MODE,2708.295426428318,255,0.6872066003807996,5
